1.000000000000000000e+00,4.535612127887936218e+00
1.000000000000000000e+00,4.563818737284773164e+00
1.000000000000000000e+00,4.419734949147012593e+00
1.000000000000000000e+00,4.329726779830767036e+00
1.000000000000000000e+00,4.124907101298074252e+00
1.000000000000000000e+00,3.565268781383359453e+00
1.000000000000000000e+00,5.914946065560029886e+00
1.000000000000000000e+00,5.734389543060440353e+00
1.000000000000000000e+00,5.696680345756641728e+00
1.000000000000000000e+00,5.508478779467907316e+00
1.000000000000000000e+00,5.115443580947959923e+00
1.000000000000000000e+00,4.491134634920097568e+00
1.000000000000000000e+00,3.820798259680498354e+00
1.000000000000000000e+00,3.538818563114932036e+00
1.000000000000000000e+00,3.540189799884018829e+00
1.000000000000000000e+00,3.291330757761077752e+00
1.000000000000000000e+00,2.996793614683118445e+00
1.000000000000000000e+00,2.455360262782820602e+00
1.000000000000000000e+00,1.952837118571600694e+00
1.000000000000000000e+00,2.687800970387965283e+00
1.000000000000000000e+00,2.832762398229842660e+00
1.000000000000000000e+00,2.899654764417154862e+00
1.000000000000000000e+00,3.078242030823588937e+00
1.000000000000000000e+00,3.163637965588764533e+00
1.000000000000000000e+00,3.518113307684753721e+00
1.000000000000000000e+00,3.682620462158340935e+00
1.000000000000000000e+00,4.410093850310019548e+00
1.000000000000000000e+00,4.376452996556075448e+00
1.000000000000000000e+00,4.391823229545074980e+00
1.000000000000000000e+00,4.427731121319085084e+00
1.000000000000000000e+00,4.384833062243382429e+00
